FLDNAME,Raw (beta),Raw (pvalue)
UCD.Lipid.450,-0.247622368,0.014489497
UCD.Lipid.451,-0.307694563,0.002780768
UCD.Lipid.452,-0.00329519,0.973890081
UCD.Lipid.453,0.001048961,0.991515515
UCD.Lipid.454,0.099026781,0.317526679
UCD.Lipid.455,0.079904087,0.414904863
UCD.Lipid.456,0.286102128,0.004200626
UCD.Lipid.457,0.228577361,0.021280651
UCD.Lipid.458,-0.00255731,0.979240031
UCD.Lipid.459,-0.112704822,0.252970364
UCD.Lipid.460,-0.002369131,0.980652985
UCD.Lipid.461,0.367525863,0.000340526
UCD.Lipid.462,-0.215845994,0.032388299
UCD.Lipid.463,-0.081272595,0.408052801
UCD.Lipid.464,-0.138568439,0.16368241
UCD.Lipid.465,0.00929204,0.924133695
UCD.Lipid.466,-0.046774999,0.632302542
UCD.Lipid.467,0.112736908,0.250288722
UCD.Lipid.468,-0.040754584,0.676240336
UCD.Lipid.469,0.089345937,0.359636609
UCD.Lipid.470,0.148647187,0.129632449
UCD.Lipid.471,0.063456387,0.51592393
UCD.Lipid.472,0.250537044,0.011951927
UCD.Lipid.473,0.070630972,0.47028622
UCD.Lipid.474,-0.022004926,0.821366272
UCD.Lipid.475,-0.077468841,0.428612227
UCD.Lipid.476,0.033946096,0.727677833
UCD.Lipid.477,-0.131353878,0.183658311
UCD.Lipid.478,0.032179681,0.742910555
UCD.Lipid.479,-0.10145196,0.30081154
UCD.Lipid.480,-0.110302783,0.262022904
UCD.Lipid.481,0.026108412,0.789424578
UCD.Lipid.482,0.026108412,0.789424578
UCD.Lipid.483,0.154159805,0.116848544
UCD.Lipid.484,-0.074378448,0.447583734
UCD.Lipid.485,-0.022973443,0.813636094
UCD.Lipid.486,-0.214406641,0.032243479
UCD.Lipid.487,-0.172644074,0.081931701
UCD.Lipid.488,-0.098360566,0.315163085
UCD.Lipid.489,-0.081620089,0.403538871
UCD.Lipid.490,-0.273982412,0.007214905
UCD.Lipid.491,-0.016045987,0.870427532
UCD.Lipid.492,-0.20378708,0.041692575
UCD.Lipid.493,-0.060898834,0.534845094
UCD.Lipid.494,0.02842463,0.777311976
UCD.Lipid.495,-0.116817088,0.239094674
UCD.Lipid.496,-0.038030531,0.697764613
UCD.Lipid.497,0.117206383,0.234708374
UCD.Lipid.498,-0.095652055,0.334197146
UCD.Lipid.499,-0.051296593,0.608871248
UCD.Lipid.500,-0.047408817,0.626754364
UCD.Lipid.501,0.092176963,0.350355521
UCD.Lipid.502,-0.070328285,0.472328992
UCD.Lipid.503,0.005621416,0.9542729
UCD.Lipid.504,-0.090385751,0.358354693
UCD.Lipid.505,0.066924605,0.493248297
UCD.Lipid.506,0.097514891,0.317521965
UCD.Lipid.507,0.007128413,0.942520337
UCD.Lipid.508,-0.068168913,0.488279133
UCD.Lipid.509,-0.0724564,0.461916553
UCD.Lipid.510,0.032767411,0.739601892
UCD.Lipid.511,-0.10264497,0.297653754
UCD.Lipid.512,-0.051568107,0.597879202
UCD.Lipid.513,-0.352720801,0.000985903
UCD.Lipid.514,-0.101158606,0.307937507
UCD.Lipid.515,-0.280634696,0.005844314
UCD.Lipid.516,0.141620272,0.150924508
UCD.Lipid.517,-0.281413967,0.006933054
UCD.Lipid.518,-0.241250263,0.017497036
UCD.Lipid.519,-0.037643243,0.701247768
UCD.Lipid.520,-0.253561947,0.01294946
UCD.Lipid.521,-0.13225729,0.184040254
